sl.no,title,label,body
46,Step 3: AP_Math: Update shaping to use improved jerk limited algorithm.,Hard,"The current real time S-Curves have two problems that this PR addresses:
1. There is a small overshoot as it approaches the target position in some combinations of input.
2. The deceleration it generates is significantly less than the limits specify.

This PR produces the full deceleration specified by the square root controller and maintains the time constant based approach to the position target. This time constant based approach makes this algorithm act as a filter making it suitable for noisy or inputs and means that the algorithm does not oscillate or buzz near the set-point.

Below is a plot showing the original square root controller, the current Real Time S Curve, This Jerk Square Root algorithm and the standard rectangular jerk S Curve (Optimal).

There are two reasons we would choose not to use the Optimal solution:
1. Computational Complexity.
2. Lack of any soft approach to set-point.

Both of these make Optimal less appealing to high update rate applications.

<img width=""907"" height=""1022"" alt=""image"" src=""https://github.com/user-attachments/assets/81f10d8b-72c5-4f5e-b9ea-1c55f5295132"" />

Meant to be merged after https://github.com/ArduPilot/ardupilot/pull/31870 and https://github.com/ArduPilot/ardupilot/pull/31848
"
47,TradHeli: move default parameter setting out of Parameters.cpp,Hard,This PR moves some of the helicopter specific default parameter setting logic out of Parameters.cpp and into various locations that make a little more sense (i.e. position control defaults to AC_PosControl.cpp). This allows for cleaner code and makes it easier to find these parameters in the future.
48,AP_HAL_ChibiOS: add scientechH7v1 board definition,Hard,"Board: Scientech H743-STRING (scientechH7v1)

MCU: STM32H743xx

Sensors: (IMU(s), baro, OSD, SD)

Serial mapping:

SERIAL1 (UART7): GPS

SERIAL2 (USART1): ESC telemetry

SERIAL3 (USART2): SBUS/RC input 

SERIAL4 (USART3): None

SERIAL5 (UART8): ELRS/CRSF

SERIAL6 (UART4): VTX

SERIAL7 (USART6): None

Storage: SDMMC1 enabled (FATFS)

OSD: AT7456E / MAX7456 on SPI2 enabled

Build tested: ./waf configure --board scientechH7v1 && ./waf copter && ./waf plane && ./waf rover

Flashing: (USB/DFU/bootloader/STLink)"
49,sim_vehicle.py: stack -A options in an array rather than splitting on…,Hard,"… space

e.g. ./Tools/autotest/sim_vehicle.py -v Copter --gdb --debug --map --console -A --serial5=sim:gps:3 -A --serial6=sim:gps:4

Tested in SITL.

Stacking works, as does splitting with spaces... i.e. these both work:
```
./Tools/autotest/sim_vehicle.py -v Copter --gdb --debug -A -""-serial5=uart:/tmp/x --serial6=uart:/tmp/y""
```

and
```
./Tools/autotest/sim_vehicle.py -v Copter --gdb --debug -A --serial5=uart:/tmp/x -A --serial6=uart:/tmp/y
```
"
50,AP_AHRS: remove groundspeed method from AHRS backend,Hard,"if we want backends to be able to return this number as determined by a separate calculation (wheel odometry?) we can put it in the results object.  For now, just derive it from the groundspeed vector"
51,hwdef: Reserve board ID range for Menthosa Solutions.,Hard,"1. Reserve range IDs 7130-7139 for Menthosa Solutions
2. Add ID 7130 for product model: idronam_pi6x"
52,AC_Avoidance: Use closest fence point if Dijkstra starts outside fence,Hard,"Resolves #31399

### Bug Description
If a Rover (or Copter) using OADijkstra starts slightly outside an inclusion fence (e.g., due to GPS drift or loitering near the edge), `calc_shortest_path` fails.
* `update_visgraph` returns `true` but generates 0 nodes because all paths to internal nodes intersect the fence.
* The pathfinder returns `DIJKSTRA_ERROR_OUT_OF_MEMORY` (or general failure) and the vehicle cannot RTL or navigate back.

### The Fix
This PR implements a ""Recovery Mode"" inside `calc_shortest_path`:
1. Checks if `_source_visgraph` is empty after the initial update.
2. If empty, iterates through `_inclusion_polygon_pts` to find the geometrically closest point on the fence boundary.
3. Temporarily sets the path start node to this ""Safe Boundary Point.""
4. Re-runs `update_visgraph` from this safe spot (which guarantees valid connections).
5. Prepends the ""Void -> Fence"" leg to the final path so the vehicle drives to the fence first.

### Verification
* Compiled successfully for Rover.
* Logic relies on `Vector2f::closest_point` for robust geometry handling."
53,"AC_PID: add units to I and D terms, fix typo",Hard,"This PR adds `@Units` annotations to the Integral (I) and Derivative (D) terms across the `AC_PID` libraries and fixes a minor typo.

**Changes:**
* Added `@Units: 1/s` to `_ki` (I term).
* Added `@Units: s` to `_kd` (D term).
* Fixed a typo in `AC_PID_2D.cpp` (`Hzs` -> `Hz`).
* Applied to `AC_PID`, `AC_PID_Basic`, `AC_PID_2D`, and `AC_HELI_PID`.

**Reasoning:**
While the physical units of the P term change depending on the controller instance (e.g., Rate vs Position), the I and D terms are mathematically consistent relative to the P term:
* **I term:** Always acts over time, effectively `1/s`.
* **D term:** Always acts on the rate of change, effectively `s`.

P and FF terms remain unitless in this PR as they are strictly context-dependent.

Ref: #31729"
54,autotest: correctly set home and startup locations so that the SITL command line can be customized without breaking assertion checks.,Hard,Without this you can't change the home location without tripping over the home location check in reboot_sitl()
55,AC_PosControl: correct @Increment for NE_VEL_IMAX and JERK params,Hard,"This PR addresses issue #31728 regarding parameter metadata display precision.

The parameter `PSC_NE_VEL_IMAX` (Horizontal Velocity Integrator Max) currently has an `@Increment` of `1`. This granularity is too coarse for precise tuning, as it forces users to jump between integer values (e.g., 2.0 to 3.0 m/s/s), representing a massive step in control authority.

**Changes:**
* Changed `@Increment` from `1` to `0.1` for `PSC_NE_VEL_IMAX`.
* Changed `@Increment` from `1` to `0.1` for `PSC_JERK_NE` and `PSC_JERK_D`.

**Reasoning:**
* **Consistency:** The vertical velocity limit `PSC_D_VEL_IMAX` already uses 0.1 precision. Horizontal should match.
* **Jerk Tuning:** An increment of `1` for Jerk (m/s/s/s) is too coarse. A jump from 1 to 2 is a 100% increase in harshness. Users need decimal precision (e.g., 1.5) to tune smooth starts/stops.

**Verification:**
* Verified via code inspection that the metadata tag now aligns with the vertical controller's precision."
56,Fix buffer overflow in ESP32 WiFi drivers and XPlane SITL connector,Hard,"This PR fixes buffer overflow vulnerabilities caused by unsafe strcpy usage in ArduPilot.

Changes:

Replaced strcpy with bounded copies (strlcpy) in ESP32 WiFi drivers (WiFiDriver.cpp, WiFiUdpDriver.cpp)
Replaced strcpy with bounded copies in XPlane SITL connector (SIM_XPlane.cpp)
Ensured proper null-termination to avoid memory corruption
Verification:

Reproduced overflow using AddressSanitizer in a minimal test case
Verified safe truncation after applying strlcpy (no ASan errors)


Fixes #31794"
57,Ap math guard sqrt controller dt,Hard,"This change adds a minimum dt threshold in sqrt_controller() to prevent
numerical instability when dt is positive but extremely small.

The existing is_positive(dt) check allows near-zero dt values, which can
produce excessively large clamp bounds due to division by dt.

This is a small, self-contained safety fix with no API or behavior changes
for normal dt values.
"
58,TemperatureSensor: Add Rangefinder to TEMPx_SRC sensor source options,Hard,"This PR adds 'Rangefinder' as a valid option to the TEMPx_SRC parameter, allowing an external temperature sensor to override the rangefinder's temperature reading (e.g., for the WATER_DEPTH MAVLink message).

- Adds Rangefinder=9 to AP_TemperatureSensor_Params::Source
- Updates parameter documentation to include 9:Rangefinder
- Implements get_temp_with_override() in RangeFinder
- Uses override in Rover's WATER_DEPTH message
- Enables AP_TemperatureSensor for Rover

This allows users to select an external temperature sensor for water temperature reporting, improving flexibility and accuracy.

Fixes #31748"
59,AP_DDS: Add trajectory setpoint interface,Hard,"Adds DDS trajectory setpoint interface (`/ap/cmd_loc_pose`) supporting position, velocity, acceleration, yaw, and yaw_rate commands in map/odom (ENU) and base_link (FLU) frames.

This will allow to interface with external trajectory planners, GCopter, model-predictive controllers (MPC), differential flatness-based controllers, etc, that sends full kinematic trajectory commands with feedforward terms for smooth tracking.

To test:

1. full trajectory command in map frame (ENU):
```bash
ros2 topic pub --once /ap/cmd_loc_pose ardupilot_msgs/msg/LocalPosition ""header: {frame_id: 'map'}, type_mask: 256, x: 10.0, y: 5.0, z: 15.0, velocity: {linear: {x: 0.5, y: 0.1, z: 0.2}}, acceleration_or_force: {linear: {x: 0.0, y: 0.0, z: 0.0}}, yaw: 0.0, yaw_rate: 0.0""
```

2. velocity + yaw command in base_link frame:
```bash
ros2 topic pub -r 5 /ap/cmd_loc_pose ardupilot_msgs/msg/LocalPosition ""header: {frame_id: 'base_link'}, type_mask: 3015, x: 0.0, y: 0.0, z: 0.0, velocity: {linear: {x: 2.0, y: 0.0, z: 0.0}}, acceleration_or_force: {linear: {x: 0.0, y: 0.0, z: 0.0}}, yaw: 0.1, yaw_rate: 0.0""
```

There can improvements like automatic type mask handling, onboard time stretching, jerk (for logging) etc, which will eventually be part of overall interface.
 
A follow-up full trajectory planning example for ardupilot_ros is forthcoming."
60,Copter: fix failsafe disarm logic for ACRO/STABILIZE modes,Hard,"## Description

Fixes unexpected disarm behavior in ACRO/STABILIZE modes during failsafe events when airborne with zero throttle.

## Problem

The `should_disarm_on_failsafe()` function was using OR logic:
```cpp
return ap.throttle_zero || ap.land_complete;
```

This caused the copter to disarm immediately during any failsafe (radio, GCS, battery) if throttle was at minimum, even when flying at altitude.

## solution

changed to AND logic:
```cpp
return ap.throttle_zero && ap.land_complete;
```

now only disarms when both conditions are true - throttle at zero AND vehicle has actually landed.

## testing

tested in SITL - copter at 280m altitude, zero throttle in ACRO mode, triggered RC failsafe. 

Before fix: immediately disarmed and fell
After fix: switched to RTL mode. copter still crashed because it was already falling hard in ACRO when RTL kicked in, but at least it attempted the failsafe action instead of just giving up.

the point is to give the copter a chance to recover rather than guaranteeing a crash by disarming.

Fixes #31798"
61,FPE in SITL,Hard,"## Bug report

Getting the following FPE in SITL quite regularly:

<img width=""1573"" height=""1382"" alt=""Image"" src=""https://github.com/user-attachments/assets/5115fd11-2981-471b-a465-760618e1d446"" />

Apologies for the screenshot, can't seem to cut and paste

**Issue details**

Crash in SITL

**Version**
master

**Platform**
[  ] All
[  ] AntennaTracker
[X] Copter
[  ] Plane
[  ] Rover
[  ] Submarine

"
62,Unexpected Disarm in ACRO mode when Throttle at zero during GCS/RC Failsafe while airborne,Hard,"## Bug report

**Issue details**

In ACRO mode, if the vehicle is airborne and the throttle is at the minimum position, triggering an GCS/RC Failsafe causes the copter to immediately disarm in mid-air.

While the ""Disarm on low throttle"" logic is expected on the ground, it should not be triggered when the flight controller detects the vehicle is still in flight (Airborne), especially during a failsafe event where a controlled RTL or Land is expected.

See line 472:
https://github.com/ArduPilot/ardupilot/blob/cef6eb780255cc398657a97aa4ef13e438296490/ArduCopter/events.cpp#L463-L482

Steps to Reproduce:

1. Take off and switch to ACRO mode.
2. Lower the throttle stick to the minimum position.
3. param set FS_THR_VALUE -1 (trigger an RC Failsafe)/param set FS_GCS_TIMEOUT 0 (trigger a GCS Failsafe).
4. The copter disarms immediately and falls.
5. Expected Result: The copter should trigger the configured Failsafe action (e.g., RTL or Land) regardless of the throttle position, as long as it is airborne.

**Version**
Copter 4.4 -> main

**Platform**
[  ] All
[  ] AntennaTracker
[x] Copter
[  ] Plane
[  ] Rover
[  ] Submarine

**Airframe type**
sitl

**Logs**
RC Failsafe:
[log_0_2025-12-27-12-45-46.zip](https://github.com/user-attachments/files/24352570/log_0_2025-12-27-12-45-46.zip)

GCS Failsafe:
[log_0_2026-1-7-16-26-53.bin.zip](https://github.com/user-attachments/files/24468172/log_0_2026-1-7-16-26-53.bin.zip)
"
63,Fix buffer overflow in ESP32 WiFi drivers and XPlane SITL connector,Hard,"
This PR fixes buffer overflow vulnerabilities caused by unsafe strcpy usage in ArduPilot.

Changes:
- Replaced strcpy with bounded copies (strlcpy) in ESP32 WiFi drivers (WiFiDriver.cpp, WiFiUdpDriver.cpp)
- Replaced strcpy with bounded copies in XPlane SITL connector (SIM_XPlane.cpp)
- Ensured proper null-termination to avoid memory corruption

Verification:
- Reproduced overflow using AddressSanitizer in a minimal test case
- Verified safe truncation after applying strlcpy (no ASan errors)

Issue: Fixes #31794

<img width=""1101"" height=""833"" alt=""Screenshot 2025-12-27 at 5 49 07 AM"" src=""https://github.com/user-attachments/assets/76f92aab-2cc0-4922-8d31-181456d3ffce"" />"
64,Buffer overflow in ESP32 WiFi drivers and XPlane SITL connector,Hard,"
## Bug report

I found a buffer overflow vulnerability in ArduPilot:

1. ESP32 WiFi drivers:
   - In libraries/AP_HAL_ESP32/WiFiDriver.cpp and WiFiUdpDriver.cpp, strcpy is used to copy SSID and password into fixed-size buffers.
2. SITL XPlane connector:
   - In libraries/SITL/SIM_XPlane.cpp, strcpy is used to copy dataref names into fixed-size buffers.

Using strings longer than the buffer size can cause stack-buffer-overflow and program crash. 
I verified this using a minimal test case compiled with AddressSanitizer.


**Version**
Branch: master
Commit: ed2c34310cd7771bf920ee855a3d22dab72f3f37

**Platform**
[X] All
[X] Copter
[X] Plane
[X] Rover
[X] Submarine


**Airframe type**
Not applicable (HAL/SITL issue)

**Hardware type**
- ESP32 (WiFi drivers)
- SITL (XPlane connector)


**Logs**

https://github.com/user-attachments/assets/880f2e3f-6190-452b-8c0e-fc96087965c8
"
65,AP_Scripting: run scripting engine in protected mode to fix panic hardfault,Hard,"Lua calls our registered panic function if a Lua error is raised outside of any protected mode set up by `lua_pcall` and friends. As scripts themselves are run in protected mode, such an error will only originate from our engine code.

The current code handles panics, but does so incorrectly by neglecting to free the error message buffer during a panic exit. As the underlying heap is eventually destroyed and recreated, that static buffer pointer is to a heap that no longer exists. If the new state raises an error it will try to free that pointer, causing heap corruption and sadness.

Fix this issue and avoid similar ones by refactoring to run the main part of the scripting engine in Lua protected mode. This creates exactly one exit path from the scripting engine and avoids the need for fragile panic handling infrastructure that duplicates what is built into Lua. Quoth the Lua manual, ""The panic function, as its name implies, is a mechanism of last resort. Programs should avoid it.""

This is unlikely to be triggerable in flight as the main engine loop does not appear to use the Lua API in a way which can trigger errors. But the possibility can't be fully excluded. It is, however, possible to trigger beforehand using a perfectly wrong heap size that causes a memory error during initialization.

Note that due to the error message buffer being freed properly now, an error message originating from the engine will not cause a pre-arm failure. This could be improved in the future.

Now that we have a better error handler, I've completely removed the faulty Lua panic handler and simplified the Lua abort handler (which is the even more last-er resort if panic does not work).

Tested on CubeOrange with a script `test.lua` consisting of just `print(""hi"")` and `SCR_HEAP_SIZE` of 8000. Previously this would cause a Lua panic message about running out of memory. Then restarting scripting would hard fault or watchdog or memory guard or something nasty. Now it just causes an engine error message and restarting works fine. Also made sure scripts raising errors still works, along with everything running nicely."
66,[SITL + ardupilot_gazebo] Iris with 3-DOF gimbal: gimbal jumps to an unexpected pose during SITL startup initialization,Hard,"## Bug report

**Issue details**
**Steps to reproduce**

(1)Start the Gazebo world and model (the gimbal is initially aligned with the vehicle heading in Gazebo):
gz sim -v4 -r ~/ardupilot/ardupilot_gazebo/worlds/iris_runway.sdf
(2)Start SITL and load the gimbal parameter file:
./Tools/autotest/sim_vehicle.py -D -v ArduCopter -f JSON \
  --add-param-file=$HOME/work/ardupilot/ardupilot_gazebo/config/gazebo-iris-gimbal.parm \
  --console --map

**Expected behavior**

After starting SITL, the gimbal should not suddenly jump to an extreme pose during initialization. At minimum, it should remain aligned with the vehicle heading, or first stabilize to a predictable neutral/retract pose. If RC Targeting is the default mode, a more reasonable initial RC input is expected.

<img width=""261"" height=""175"" alt=""Image"" src=""https://github.com/user-attachments/assets/4d239d0f-26f0-48b4-af37-4c872d763676"" />

**Actual behavior**

After starting SITL, the gimbal in Gazebo quickly twists to a strange orientation, and the initial pose aligned with the vehicle heading is broken.
Early RC inputs captured from RC_CHANNELS are:
chan6_raw=1000
chan7_raw=1000
chan8_raw=1800
Meanwhile, the parameter file configures the calibration range for RC6/7/8 as RCx_MIN=1100, RCx_MAX=1900, so the raw values at startup are below the configured lower bound (at least CH6/7: 1000 < 1100).
Early gimbal attitude captured from GIMBAL_DEVICE_ATTITUDE_STATUS:
q = [0.3921, 0.7231, -0.5320, 0.2010] (w, x, y, z)
The Euler angles converted from this quaternion show a large-angle combination.

<img width=""238"" height=""177"" alt=""Image"" src=""https://github.com/user-attachments/assets/f6d60834-a67b-451a-84e2-288e35f24781"" />

**Version**

ArduPilot: SITL (ArduCopter), started via sim_vehicle.py
Simulation: Gazebo (gz sim) + ardupilot_gazebo model (iris + gimbal)
OS: Ubuntu 22.04
ArduPilot: ArduPilot-4.6.0-beta1-5055-gebe4fc2074
ardupilot_gazebo commit: git rev-parse HEAD
Gazebo / gz-sim version: Gazebo Sim, version 8.10.0

**Platform**
[  ] All
[  ] AntennaTracker
[  ] Copter
[  ] Plane
[  ] Rover
[  ] Submarine

**Airframe type**

**Hardware type**

**Logs**

"
67,AP_GPS: Add per-stream EKF location override for GPS_RAW_INT output,Hard,"This change adds a new GPS parameter, _POS_SETFLGS, which allows selecting,
per MAVLink stream (SRx), whether the GPS_RAW_INT message uses the EKF-estimated
location or the raw GPS device position.

When enabled for a given stream, latitude, longitude, and altitude in
GPS_RAW_INT are populated from the EKF solution obtained via AHRS, while the
GPS device remains unchanged and continues to provide measurements for EKF
estimation.

This is particularly useful for external devices (e.g. cameras(SiYi A8mini, etc) or gimbals)
that record GPS_RAW_INT data directly into image EXIF metadata. By using the
EKF location, recorded positions remain accurate and consistent in environments
with degraded GNSS or when transitioning seamlessly between outdoor (GNSS) and
indoor or vision-based navigation.


ADDED PARAMETER
<img width=""820"" height=""568"" alt=""Screenshot from 2025-12-24 23-36-18"" src=""https://github.com/user-attachments/assets/131d7dca-56cd-4497-923c-8394aef9cfa2"" />

SET 0
<img width=""820"" height=""318"" alt=""Screenshot from 2025-12-24 23-36-02"" src=""https://github.com/user-attachments/assets/510658b2-eb9a-4d8e-a238-8fdfc8be074b"" />

SET 1
<img width=""820"" height=""318"" alt=""Screenshot from 2025-12-24 23-35-13"" src=""https://github.com/user-attachments/assets/65c591dc-7c58-476e-877d-5859f2679821"" />

ex
![A8mini-pr drawio](https://github.com/user-attachments/assets/101ede86-75b4-4efa-8a4f-8f135f3122c2)


"
68,XRush4 F4 V3,Hard,"Tested:
✅ ESC x 4
✅ Servo x 2
✅ LED x 1
✅ Buzzer x 1
✅ RC CRSF + RC SBUS
✅ GPS UBLOX
✅ Internal Baro BMP280/DPS310
✅ I2C ASPD4525
✅ COMPASS HMC5843, QMC5883L
✅ Camera 1 + Camera 2 + Camera Relay
✅ OSD
✅ IRC_tramp + 9V Power switch Relay
✅ Internal 16 MB Flash + Logging
✅ Bidirectional DShot300 ESC Telemetry via UART2"
69,Support for Kebni SensAItion as External AHRS (in IMU and INS modes),Hard,"This PR replaces our earlier #31305. 

We have now added support for using the SensAItion sensor in the INS mode, where it replaces EKF3 and performs onboard sensor fusion between its IMU and GPS receiver(s). It can also run in the previous IMU mode, where it acts as an external sensor that feeds data to EKF3.

We attach a Markdown file with suggested user instructions, to be added to the wiki if the PR is accepted:
[SensAItion_description_for_Ardupilot_wiki.md](https://github.com/user-attachments/files/24311449/SensAItion_description_for_Ardupilot_wiki.md)

Tests performed:
- Unit tests for the parser pass.
- SITL tests pass:
  - IMU test: SensAItion is set to be Primary IMU
  - INS test: Similar to vectornav, microstrain and inertiallabs
- Flight tests on a Holybro Quadcopter X650:
  - IMU mode: SensAItion IMU as Primary IMU and lane switching disabled. Flying was smooth and innovations were small. Tested loitering, light and aggressive maneuvering.
  - INS mode: SensAItion as ExternalAHRS, ArduPilot EKF disabled. Tested loitering, light and aggressive maneuvering and autonomous following of a waypoint path.

To discuss:
- The SensAItion sensor reports altitude relative to the WGS84 geoid, but we noticed that `AP_ExternalAHRS::gps_data_message_t.msl_altitude` seems to expect the altitude above Mean Sea Level. We expect that it won't matter, since users will reset the altitude to 0 before takeoff - do you agree?

Best regards,

The Kebni Inertial Sensing R&D Team
"
70,AC_Sprayer: add option to disable on failsafe,Hard,"Add SPRAY_OPTIONS bit0 to disable sprayer outputs while in failsafe.

When enabled, the sprayer clamps pump and spinner outputs to MIN while failsafe is active and does not automatically resume spraying after failsafe clears.

Copter: propagate RC and GCS failsafe state to the sprayer.

Relates to #23927 "
71,ChibiOS: re-instate entry hook support that was lost in the chibios upgrade,Hard,Re-instates ff56b1cf144b8491b10a00be72a78a4d8e3866c2
72,AP_Bootloader: Add YARI_RTK_GNSS Board ID,Hard, 
73,AP_BLHeli: create AP_BLHELI_ENABLED + add to build_options.py,Hard,"This is a no-compiler-output change:
```
pbarker@threads:~/rc/ardupilot$ ./Tools/scripts/filter_size_compare_branches_csv.py /tmp/some.csv  --hide
----------------------------  ------
Board                         copter
CubeOrange-SimOnHardWare      -8
CubeOrangePlus-SimOnHardWare  0
skyviper-v2450                -8
----------------------------  ------
pbarker@threads:~/rc/ardupilot$ 
```

It also passes `test_build_options.py`, 'though there is probably a missing dependency on `HAL_SERIAL_ESC_COMM_ENABLED` (which we can't fix until that define is added to `build_options.py`).  And renamed, because that isn't capturing everything that should be....
"
74,Plane: Quadplane: add thrust loss detection,Hard,"This adds thrust loss detection to quadplane. The thresholds are copied from copter. For thrust loss to be detected the following must be true for one second:

- Armed, flying and in throttle unlimited spool state
- Desired attitude of less than 15 degrees
- Demanded throttle of more than 90% or on the upper throttle limit and above 25%
- Vehicle descending
- Angle error of less than 30 degrees

When thrust boost is detected it will stops the mixer constraining the other motor outputs based on the failed motor. This will only really help if you have more than 4 motors since if you have 4 or less you will have already crashed.

Copter has a flight option to disable this check, we will likely want the same.

Currently this is active all the time, we may want to ignore transitions (especially for tiltrotors) or change the thresholds.

Draft PR for now to get some testing.

Another option would be to expose the `motors->set_thrust_boost` to scripting so the check could be done with a script and tailored to a specific vehicle, or by using ESC telem for example."
75,ESC to RPM sensor processing,Hard,"## Feature request

**Is your feature request related to a problem? Please describe.**

* AM32 ESCs sometimes report RPM values that are significantly out of range (50k+ RPM on a motor that spins at 4k RPM). Thist mostly happens during spool up causing heli governor using ESC RPM telemetry to fail to engage)
* BDShot RPM telemetry (on AM32 ESCs) is jittery ±10RPM jitter at 4k RPM which probably messes with the Ardupilot governor, causing throttle jitter.

**Describe the solution you'd like**
Adding lowpass filter to RPM library and respecting RPMx_MAX when taking data from ESC telemetry would alleviate these issues. At the cost of slightly decreased governor tracking accuracy

**Describe alternatives you've considered**

* Checking that the governor is engaged prior to takeoff
* Kickstarting the motor with the interlock to avoid the issue
* Cycling the interlock to re-engage the governor 
* Using throttle curve (not feasible due to large voltage range and apparent lack of voltage compensation)


**Platform**
[  ] All
[  ] AntennaTracker
[ X ] Copter (heli)
[  ] Plane
[  ] Rover
[  ] Submarine

**Additional context**
Will add screenshots soon.
"
76,Standard Modes Support problems,Hard,"With the new Standard Modes support in ArduCopter on master QGC now shows those modes in it's ui. There are a number of problems from a usability standpoint with this new functionality:
* The flight mode names are in ALL CAPS. And include things like ADSB_AVOID. From an end user perspective all caps and using underscores in flight mode names is quite jarring in the QGC UI. It's not technically a problem, just not very user friendly from a good user interface standpoint. It's also pretty jarring for existing QGC+ArduPilot users coming from older firmwares where QGC was in control of flight mode names and used Mixed Case everywhere with no underscores.
* Also the list of flight modes is massively long. I don't know if some of these flight modes returned fall into the category of not-selectable by a user. If so, they should be marked as such in the protocol. Also would be nice if there was use of the ""advanced"" setting in the protocol. Then QGC could filter the list so that it wasn't so formidable at first glance."
77,Remove dummy method implementation based on vehicle for AC_Fence,Hard,"We suggest that AC_FENCE_ENABLED can be set to 0, 1 or 2, which is against the pattern followed throughout the codebase. In the AP_*_ENABLED world, something should either be ENABLED or DISABLED, nothing in between.

It is difficult to maintain the current pattern for `AC_FENCE` and as suggested by @peterbarker  in #31716, we should just simply avoid vehicle based dummy method implementation and let blimp/tracker have fences."
78,AP_Scripting:  Support sending arbitrary mavlink messages,Hard,"Fix the ""FIXME"" in lua_bindings.cpp.  Enable support for sending run time defined mavlink messages.
"
79,SITL: extend SerialDevice corruption simulation,Hard,"This change extends the SITL SerialDevice corruption simulator to cover more UART/serial failure modes, making it easier to stress-test serial parsers under Valgrind and catch potential buffer overruns.

## What’s added
- stall: return 0 bytes even though data was available
- short-read: return only a short prefix of the available bytes
- burst: corrupt a small consecutive range of bytes

drop/add/flip are kept as-is.
 
## Notes
- This is guarded behind AP_SIM_SERIALDEVICE_CORRUPTION_ENABLED, so there is no behavior change when corruption is disabled.
- Intended usage is to enable corruption and run SITL under Valgrind (e.g. sim_vehicle.py -V) to verify there are no memory errors even under heavy serial corruption."
80,TemperatureSensor: Add Rangefinder to the TEMPx_SRC sensor source options,good first issue,"## Feature request

**Is your feature request related to a problem? Please describe.**
Rover (and [hopefully soon Sub](https://github.com/ArduPilot/ardupilot/pull/31622)) make use of a `WATER_DEPTH` MAVLink message, which includes temperature data from a downward-facing rangefinder. Rangefinders don't always include temperature sensors (or they may not be super accurate), so it could be nice to be able to sub that in from a dedicated temperature sensor.

**Describe the solution you'd like**
Add a `Rangefinder` option to the temperature sensor [source options](https://github.com/ArduPilot/ardupilot/blob/master/libraries/AP_TemperatureSensor/AP_TemperatureSensor_Params.h#L43), to allow the rangefinder driver temperature data to be overshadowed via the [`TEMPx_SRC`](https://ardupilot.org/sub/docs/parameters.html#temp1-src-sensor-source) parameters.

**Describe alternatives you've considered**
1. The `WATER_DEPTH` message could automatically fall back to another temperature source if one is provided, but that either reliant on the rangefinder not providing temperature data, or makes it ambiguous as to what is being used
2. The source could be specified as ""water temperature"" instead of specifically rangefinder, which could make it more broadly useful in future, but also makes it less clear when and where it's likely to be used.
3. We could add dedicated MAVLink reporting for temperature sensors, and/or specifically for water temperature, which are both potentially good ideas, but then it's potentially unclear what source is being used for the temperature data in the `WATER_DEPTH` message

**Platform**
[  ] All
[  ] AntennaTracker
[  ] Copter
[  ] Plane
[x] Rover
[x] Submarine

**Additional context**
#31616 may be a good reference for the temperature sensor library side of things.
"
81,Sub: use get_yaw_rad to get heading,Hard,"Eliminates some use of yaw_sensor (a centidegrees unit variable that we want to eliminate from the code.

No way this compiles if we didn't get everything here.

Only tested for compilation (and by autotest).
"
82,AP_Mount: consume gimbal device id for DO_SET_ROI_LOCATION/NONE,Hard,Handle param1 (gimbal device id) for DO_SET_ROI_LOCATION and DO_SET_ROI_NONE immediate commands. Previously these commands always targeted the primary gimbal regardless of the device id.
83,AP_Bootloader: Adding ID for LUXH743NDAA,Hard,Adding board ID for our new LUXH743NDAA flight controller. Configuration will follow shortly after. 
